video_id,video_url,video_title,channel_name,channel_id,kategori,eslesen_keyword,comment_count,view_count,like_count,published_at
l7ifDOXEQXU,https://www.youtube.com/watch?v=l7ifDOXEQXU,"Iran supreme leader Khamenei is dead, Trump & Israeli sources say",CNN,UCupvZG-5ko_eiXAupbDfxWw,ilk_saldir,strike,11331,1398654,11581,2026-02-28T20:53:44Z
yvdw70adEOQ,https://www.youtube.com/watch?v=yvdw70adEOQ,Trump's shift from talking about Iran to ballroom design,CNN,UCupvZG-5ko_eiXAupbDfxWw,ilk_saldir,hit,11285,3262794,93231,2026-03-02T20:40:16Z
tq9RUyyZ4rQ,https://www.youtube.com/watch?v=tq9RUyyZ4rQ,Anti-war protester dragged out of Senate hearing,CNN,UCupvZG-5ko_eiXAupbDfxWw,sivil_kayip,injured,8254,2063568,40353,2026-03-05T04:53:44Z
QJYsIwQcgtg,https://www.youtube.com/watch?v=QJYsIwQcgtg,Retired generals break down Iran war strategy after week 1,CNN,UCupvZG-5ko_eiXAupbDfxWw,sivil_kayip,casualties,2468,727639,5879,2026-03-09T23:57:39Z
GJcIXCjSYDI,https://www.youtube.com/watch?v=GJcIXCjSYDI,Pentagon names six airmen who died in Iraq crash,CNN,UCupvZG-5ko_eiXAupbDfxWw,sivil_kayip,casualties,640,144143,1996,2026-03-15T10:05:24Z
VU9kVrUenJM,https://www.youtube.com/watch?v=VU9kVrUenJM,Mark Levin: We have a party that HATES the country,Fox News,UCXIJgqnII2ZOINSWNOGFThA,ateskes,peace,6855,723195,29501,2026-03-01T10:45:04Z
zA8BH7WBkRA,https://www.youtube.com/watch?v=zA8BH7WBkRA,Iranian military issues DEFIANT message to Trump,Fox News,UCXIJgqnII2ZOINSWNOGFThA,ateskes,negotiations,6126,906490,10514,2026-03-25T17:15:04Z
dEfVdH-uktY,https://www.youtube.com/watch?v=dEfVdH-uktY,JUST IN: Israeli jet downs Iranian fighter in HISTORIC Tehran dogfight,Fox News,UCXIJgqnII2ZOINSWNOGFThA,ateskes,envoy,4866,2497019,29055,2026-03-04T11:01:04Z
VtuzInYdgKo,https://www.youtube.com/watch?v=VtuzInYdgKo,Saudi Arabia 'VERY CLOSE' to striking inside Iran as war expands,Fox News,UCXIJgqnII2ZOINSWNOGFThA,genel,iran_context,7113,3619464,35153,2026-03-03T19:45:01Z
p_vsaTiBpEk,https://www.youtube.com/watch?v=p_vsaTiBpEk,Iran EXECUTES teen wrestling star in public,Fox News,UCXIJgqnII2ZOINSWNOGFThA,genel,iran_context,5940,757092,9719,2026-03-20T11:15:05Z
WNVcOBeh6UQ,https://www.youtube.com/watch?v=WNVcOBeh6UQ,"URGENT: Russia providing Iran intel to target US forces, report says",Fox News,UCXIJgqnII2ZOINSWNOGFThA,genel,iran_context,5656,623138,7289,2026-03-06T16:15:03Z
4taVYGvdQPc,https://www.youtube.com/watch?v=4taVYGvdQPc,JUST IN: Trump RIPS NATO 'COWARDS' over Strait of Hormuz,Fox News,UCXIJgqnII2ZOINSWNOGFThA,hormuz,hormuz,6281,452988,4186,2026-03-20T16:00:09Z
I6SOnaBAW6s,https://www.youtube.com/watch?v=I6SOnaBAW6s,BREAKING: European allies make MAJOR pivot on Strait of Hormuz,Fox News,UCXIJgqnII2ZOINSWNOGFThA,hormuz,hormuz,6261,1856167,18592,2026-03-19T14:47:29Z
6tNtLwlwTZM,https://www.youtube.com/watch?v=6tNtLwlwTZM,DETAILS: Trump announces warships heading towards Strait of Hormuz,Fox News,UCXIJgqnII2ZOINSWNOGFThA,hormuz,hormuz,4473,859837,11437,2026-03-15T00:00:15Z
8lat7KKHBmM,https://www.youtube.com/watch?v=8lat7KKHBmM,BREAKING: Iran’s Ayatollah Ali Khamenei killed in an Israeli airstrike,Fox News,UCXIJgqnII2ZOINSWNOGFThA,ilk_saldir,airstrike,23201,4987971,75586,2026-02-28T20:19:58Z
